size,flag1,flag2,flag3,flag4,target
20.15,1,1,0,0,1
16.6,0,0,1,0,0
2.56,0,0,0,0,0
7.94,1,0,1,0,0
10.48,1,0,1,1,0
2.18,0,0,0,0,0
1.29,0,0,0,0,0
20.3,0,1,0,0,1
0.03,0,0,0,0,0
0.75,1,0,0,0,0
1.52,1,0,0,0,0
18.52,0,1,0,0,1
2.18,1,0,0,0,0
3.43,1,0,0,0,0
15.32,0,0,1,0,0
7.94,0,0,1,1,0
18.64,1,1,0,0,1
5.25,0,0,0,0,0
11.96,1,0,1,0,0
4.67,1,0,0,0,0
16.32,0,0,1,0,0
10.55,1,0,1,1,0
17.65,1,0,1,0,0
15.68,0,0,1,0,0
0.67,0,0,0,0,0
18.78,1,1,0,0,1
7.8,0,0,1,1,0
12.38,0,0,1,0,0
15.36,0,0,1,0,0
3.95,0,0,0,0,0
8.08,0,0,1,0,1
11.17,1,0,1,1,0
16.66,1,0,1,0,0
17.65,0,0,1,0,0
8.92,1,0,1,0,1
1.35,0,0,0,0,0
12.07,1,0,1,0,0
9.91,0,0,1,1,1
14.7,0,0,1,0,0
9.72,0,0,1,0,1
7.9,0,0,1,1,0
8.75,0,0,1,0,1
15.01,0,0,1,0,0
6.78,1,0,1,1,0
4.17,1,0,0,0,0
13.18,1,0,1,0,0
11.61,1,0,1,0,0
16.87,1,0,1,0,0
11.34,0,0,1,0,0
0.75,0,0,0,0,0
19.05,1,1,0,0,1
19.04,1,1,0,0,1
13.21,1,0,1,0,0
11.36,1,0,1,0,0
15.2,1,0,1,0,0
9.87,0,0,1,0,1
13.19,0,0,1,0,0
14.5,0,0,1,0,0
3.14,1,0,0,0,0
20.92,1,1,0,0,1
18.68,1,1,0,0,1
13.72,1,0,1,0,0
4.97,1,0,0,0,0
8.3,0,0,1,0,1
14.01,1,0,1,0,0
3.94,0,0,0,0,0
15.2,0,0,1,0,0
6.48,0,0,1,1,0
1.14,0,0,0,0,0
1.36,1,0,0,0,0
13.64,0,0,1,0,0
13.17,0,0,1,0,0
12.47,0,0,1,0,0
10.57,1,0,1,1,0
17.73,0,0,1,0,0
20.8,0,1,0,0,1
14.02,0,0,1,0,0
6.58,1,0,1,1,0
14.98,1,0,1,0,0
20.44,1,1,0,0,1
17.77,0,0,1,0,0
2.58,1,0,0,0,0
6.94,0,0,1,1,0
12.34,1,0,1,0,0
7.72,1,0,1,1,0
19.59,1,1,0,0,1
0.36,0,0,0,0,0
3.05,1,0,0,0,0
17.45,1,0,1,0,0
1.57,0,0,0,0,0
16.92,1,0,1,0,0
20.97,1,1,0,0,1
0.24,0,0,0,0,0
17.9,1,0,1,0,0
17.48,0,0,1,0,0
20.85,0,1,0,0,1
13.58,0,0,1,0,0
17.53,0,0,1,0,0
4.05,0,0,0,0,0
3.74,1,0,0,0,0
2.77,1,0,0,0,0
20.2,1,1,0,0,1
15.71,0,0,1,0,0
18.23,0,1,0,0,1
1.83,0,0,0,0,0
10.85,0,0,1,1,0
4.59,1,0,0,0,0
16.16,0,0,1,0,0
13.98,1,0,1,0,0
5.32,1,0,0,0,0
14.64,0,0,1,0,0
14.44,0,0,1,0,0
9.84,1,0,1,0,1
10.85,0,0,1,1,0
5.7,0,0,0,0,0
14.46,0,0,1,0,0
17.37,0,0,1,0,0
12,0,0,1,0,0
5.59,0,0,0,0,0
14.81,0,0,1,0,0
15.76,1,0,1,0,0
13.96,0,0,1,0,0
13.3,1,0,1,0,0
4.79,1,0,0,0,0
17.49,0,0,1,0,0
20.31,1,1,0,0,1
4.64,0,0,0,0,0
3.68,1,0,0,0,0
13.01,1,0,1,0,0
4.16,1,0,0,0,0
8.07,1,0,1,0,1
15.23,1,0,1,0,0
18.06,0,1,0,0,1
18.62,0,1,0,0,1
10.33,0,0,1,1,0
10.96,1,0,1,1,0
6.41,1,0,1,1,0
3.84,0,0,0,0,0
11.58,0,0,1,0,0
15.41,0,0,1,0,0
9.78,0,0,1,0,1
10.84,1,0,1,1,0
2.88,0,0,0,0,0
10.28,0,0,1,1,0
17.48,1,0,1,0,0
10.75,0,0,1,1,0
5.56,0,0,0,0,0
1.41,0,0,0,0,0
12.42,0,0,1,0,0
18.02,1,1,0,0,1
14.27,0,0,1,0,0
8.13,1,0,1,0,1
14.98,0,0,1,0,0
5.09,0,0,0,0,0
4.62,0,0,0,0,0
1.02,0,0,0,0,0
17.31,0,0,1,0,0
20.41,1,1,0,0,1
6.12,1,0,1,1,0
